N 0
lho lho 0
lho keren 0
lho kul 0
lho parah 0
keren lho 0
keren keren 0
keren kul 0
keren parah 0
kul lho 0
kul keren 0
kul kul 0
kul parah 0
parah lho 0
parah keren 0
parah kul 0
parah parah 0
N 1
lho lho 0
lho keren 0
lho kul 0
lho parah 0
keren lho 0
keren keren 0
keren kul 0
keren parah 0
kul lho 0
kul keren 0
kul kul 0
kul parah 0
parah lho 0
parah keren 0
parah kul 0
parah parah 0
N 2
lho lho 0
lho keren 1
lho kul 1
lho parah 0
keren lho 1
keren keren 0
keren kul 0
keren parah 1
kul lho 0
kul keren 0
kul kul 0
kul parah 1
parah lho 1
parah keren 0
parah kul 0
parah parah 0
N 3
lho lho 1
lho keren 0
lho kul 0
lho parah 2
keren lho 1
keren keren 1
keren kul 1
keren parah 0
kul lho 1
kul keren 0
kul kul 0
kul parah 0
parah lho 0
parah keren 1
parah kul 1
parah parah 0
N 4
lho lho 2
lho keren 1
lho kul 1
lho parah 0
keren lho 1
keren keren 1
keren kul 1
keren parah 2
kul lho 0
kul keren 1
kul kul 1
kul parah 0
parah lho 1
parah keren 0
parah kul 0
parah parah 2
N 5
lho lho 1
lho keren 2
lho kul 2
lho parah 2
keren lho 3
keren keren 1
keren kul 1
keren parah 2
kul lho 1
kul keren 0
kul kul 0
kul parah 2
parah lho 2
parah keren 1
parah kul 1
parah parah 0
N 6
lho lho 4
lho keren 1
lho kul 1
lho parah 4
keren lho 3
keren keren 3
keren kul 3
keren parah 2
kul lho 2
kul keren 1
kul kul 1
kul parah 0
parah lho 1
parah keren 2
parah kul 2
parah parah 2
N 7
lho lho 5
lho keren 4
lho kul 4
lho parah 2
keren lho 5
keren keren 3
keren kul 3
keren parah 6
kul lho 1
kul keren 2
kul kul 2
kul parah 2
parah lho 4
parah keren 1
parah kul 1
parah parah 4
N 8
lho lho 6
lho keren 5
lho kul 5
lho parah 8
keren lho 9
keren keren 5
keren kul 5
keren parah 6
kul lho 4
kul keren 1
kul kul 1
kul parah 4
parah lho 5
parah keren 4
parah kul 4
parah parah 2
N 9
lho lho 13
lho keren 6
lho kul 6
lho parah 10
keren lho 11
keren keren 9
keren kul 9
keren parah 10
kul lho 5
kul keren 4
kul kul 4
kul parah 2
parah lho 6
parah keren 5
parah kul 5
parah parah 8
N 10
lho lho 16
lho keren 13
lho kul 13
lho parah 12
keren lho 19
keren keren 11
keren kul 11
keren parah 18
kul lho 6
kul keren 5
kul kul 5
kul parah 8
parah lho 13
parah keren 6
parah kul 6
parah parah 10
N 11
lho lho 25
lho keren 16
lho kul 16
lho parah 26
keren lho 29
keren keren 19
keren kul 19
keren parah 22
kul lho 13
kul keren 6
kul kul 6
kul parah 10
parah lho 16
parah keren 13
parah kul 13
parah parah 12
